#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t2 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       VMIS         TRESCA       TRACE        DETER       
StressInBal      N4197    resImp   SIGM_NOEU                   7  6.93069E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  2.84746E-02  2.97065E-02 -7.30381E-02 -9.51102E-06
StressInBal      N4198    resImp   SIGM_NOEU                   7  6.93069E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  2.71091E-02  2.73044E-02 -7.97773E-02 -1.37654E-05
StressInBal      N4199    resImp   SIGM_NOEU                   7  6.93069E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  2.68683E-02  2.69420E-02 -8.16699E-02 -1.50611E-05
StressInBal      N4200    resImp   SIGM_NOEU                   7  6.93069E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  2.71090E-02  2.73042E-02 -7.97767E-02 -1.37651E-05
StressInBal      N4201    resImp   SIGM_NOEU                   7  6.93069E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  2.84743E-02  2.97061E-02 -7.30375E-02 -9.51083E-06
StressInBal      N4202    resImp   SIGM_NOEU                   7  6.93069E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  2.76637E-02  2.88770E-02 -7.09518E-02 -8.71700E-06
StressInBal      N4196    resImp   SIGM_NOEU                   8  7.92079E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  3.50230E-02  3.65590E-02 -8.98272E-02 -1.76889E-05
StressInBal      N4197    resImp   SIGM_NOEU                   8  7.92079E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  3.60486E-02  3.76080E-02 -9.24657E-02 -1.92984E-05
StressInBal      N4198    resImp   SIGM_NOEU                   8  7.92079E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  3.43199E-02  3.45670E-02 -1.00997E-01 -2.79306E-05
StressInBal      N4199    resImp   SIGM_NOEU                   8  7.92079E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  3.40150E-02  3.41083E-02 -1.03393E-01 -3.05596E-05
StressInBal      N4200    resImp   SIGM_NOEU                   8  7.92079E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  3.43197E-02  3.45668E-02 -1.00996E-01 -2.79300E-05
StressInBal      N4201    resImp   SIGM_NOEU                   8  7.92079E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  3.60481E-02  3.76075E-02 -9.24649E-02 -1.92980E-05
StressInBal      N4202    resImp   SIGM_NOEU                   8  7.92079E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  3.50219E-02  3.65578E-02 -8.98246E-02 -1.76875E-05
StressInBal      N4196    resImp   SIGM_NOEU                   9  8.91089E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  4.27787E-02  4.46547E-02 -1.09720E-01 -3.22354E-05
StressInBal      N4197    resImp   SIGM_NOEU                   9  8.91089E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  4.40313E-02  4.59361E-02 -1.12942E-01 -3.51680E-05
