#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t3 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       SIXX         SIYY         SIZZ         SIXY        
StressInBal      N4200    resImp   SIGM_NOEU                  13  1.28713E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -4.64297E-02 -1.19411E-01 -4.75030E-02 -2.29172E-04
StressInBal      N4201    resImp   SIGM_NOEU                  13  1.28713E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -3.63467E-02 -1.15619E-01 -4.33582E-02  2.18425E-03
StressInBal      N4202    resImp   SIGM_NOEU                  13  1.28713E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -3.71650E-02 -1.10419E-01 -4.21651E-02  1.21665E-02
StressInBal      N4196    resImp   SIGM_NOEU                  14  1.38614E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -4.06340E-02 -1.20725E-01 -4.61005E-02 -1.33010E-02
StressInBal      N4197    resImp   SIGM_NOEU                  14  1.38614E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -3.97383E-02 -1.26407E-01 -4.74041E-02 -2.38721E-03
StressInBal      N4198    resImp   SIGM_NOEU                  14  1.38614E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -5.07622E-02 -1.30554E-01 -5.19355E-02  2.51246E-04
StressInBal      N4199    resImp   SIGM_NOEU                  14  1.38614E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -5.36260E-02 -1.31934E-01 -5.32245E-02  3.37696E-07
StressInBal      N4200    resImp   SIGM_NOEU                  14  1.38614E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -5.07617E-02 -1.30553E-01 -5.19351E-02 -2.50550E-04
StressInBal      N4201    resImp   SIGM_NOEU                  14  1.38614E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -3.97382E-02 -1.26406E-01 -4.74037E-02  2.38803E-03
StressInBal      N4202    resImp   SIGM_NOEU                  14  1.38614E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -4.06332E-02 -1.20721E-01 -4.60994E-02  1.33016E-02
