Frequencies [Hz]    Rail Acc TF [m/s^2/N]    TDR [dB/m]    Sound Presure [Pa]
649.475561513571    (-0.034513789343478055+0.020376200367677868j)    21.668248645969747    (8.359047546218491e-07+1.2156377611308707e-06j)
658.556385053091    (-0.03322018554383422+0.030464396080340864j)    18.265537496854577    (-1.6365694419151244e-06-1.7244819328677872e-08j)
667.764174657299    (-0.024756478213084722+0.03694620630914617j)    15.104566213716344    (6.074005217279427e-07-1.4200122139870254e-06j)
677.100705537607    (-0.016366409550539057+0.03501165532049524j)    12.968329327201207    (8.767741927043131e-07+8.158599687300313e-07j)
686.567777726039    (-0.01174121988601783+0.030888588634825777j)    11.479715427601654    (-6.125051074261291e-07+5.673304679358625e-07j)
696.167216422272    (-0.009836068327697855+0.026992136180027014j)    10.558357001285845    (-1.2207678608786943e-07-1.4025754992086962e-07j)
705.900872345518    (-0.009860082075172841+0.024329071438103728j)    10.331736163121567    (2.142237859148283e-08+3.3409930869380494e-07j)
715.770622091335    (-0.012258270873811919+0.022935541296216017j)    11.503950326784604    (-5.673629574436774e-07+1.3898299181872155e-07j)
725.778368493428    (-0.01341509702345746+0.023302705343495003j)    11.963876038698789    (-3.1992645834107994e-07-6.596256650893315e-07j)
735.926040990497    (-0.011541990876846812+0.024719611552154117j)    10.587818602277547    (6.190276222656292e-07-6.110635488864385e-07j)
746.215595998231    (-0.008378578567305507+0.0227287418827194j)    8.365845321040199    (1.100584065937085e-06+2.1870268564752023e-07j)
756.649017286488    (-0.0075444427769338065+0.01834239375920383j)    6.815128308550061    (8.406444828460566e-07+9.415631317414428e-07j)
767.228316361756    (-0.009964699148472396+0.012568021625745773j)    6.459297938231504    (3.1457976227805316e-07+9.044269964619998e-07j)
777.955532854966    (-0.014342722838176435+0.009303532384169835j)    8.856880743495891    (-2.492242455386107e-07+6.291880223121278e-07j)
788.832734914711    (-0.020081940233409836+0.008597458884496641j)    14.001284146123998    (-5.541575532526214e-07+3.524845747351623e-07j)
799.862019605984    (-0.02568595833416193+0.009908546379419562j)    18.49899160947073    (-6.822581123367464e-07+1.4023160091016084e-07j)
811.045513314477    (-0.02875606698173905+0.014079953147255114j)    19.426410434813274    (-7.376972263035265e-07+1.9427357969725038e-07j)
822.385372156533    (-0.02903387843940585+0.018113490446423214j)    18.104112917611538    (-5.652636157390387e-07+4.6960781861562684e-07j)
833.883782394837    (-0.028892750499620347+0.01776187548152608j)    17.036871329302368    (-7.159574628034917e-09+3.8453692513077584e-07j)
845.542960859918    (-0.02885214807590526+0.016861113593782645j)    15.969642396647874    (2.5599023920716914e-07-3.316636205755308e-07j)
857.365155377537    (-0.03029203230413319+0.014923029546904146j)    15.769150731321854    (-9.007772426087598e-07-7.591398134654041e-07j)
